block,set_id,seed,group,baseline,shown_A,shown_B,wh_A,wh_B,answer,verdict
upscale,p015+dualuse_zendaya_white_blazer_skirt,48,"clean",SCALE,NOSCALE,SCALE,672x1024,832x1248,same,same
upscale,p007+p020,46,"clean",SCALE,SCALE,NOSCALE,832x1248,672x1024,same,same
crop2,p013+p018,46,"clean",SCALE,SCALE,CROP2,1248x832,1248x832,same,same
upscale,p010+dualuse_hugh_jackman_grey_suit_outdoor,46,"clean",SCALE,SCALE,NOSCALE,832x1248,672x1024,same,same
upscale,p008+dualuse_emma_watson_black_blazer_armscrossed,48,"fail",SCALE,SCALE,NOSCALE,864x1152,768x1024,same,same
upscale,p008+dualuse_emma_watson_black_blazer_armscrossed,47,"fail",SCALE,NOSCALE,SCALE,768x1024,864x1152,A,arm_better
crop2,g004+g013,47,"clean",SCALE,CROP2,SCALE,896x1152,896x1152,same,same
crop2,g013+p006,46,"fail",SCALE,SCALE,CROP2,896x1120,896x1120,same,same
crop2,p011+p016,47,"clean",SCALE,CROP2,SCALE,832x1248,832x1248,same,same
upscale,p006+p011,48,"fail",SCALE,SCALE,NOSCALE,832x1248,672x1024,A,baseline_better
crop2,p019+dualuse_gal_gadot_blue_dress_redcarpet,47,"fail",SCALE,SCALE,CROP2,1248x832,1248x832,same,same
crop2,p008+dualuse_emma_watson_black_blazer_armscrossed,48,"fail",SCALE,CROP2,SCALE,864x1152,864x1152,B,baseline_better
crop2,g027+p003,46,"fail",SCALE,SCALE,CROP2,768x1344,768x1344,same,same
upscale,g027+p003,46,"fail",SCALE,NOSCALE,SCALE,576x1024,768x1344,same,same
crop2,dualuse_lp_floral_kimono_set+dualuse_lp_navy_quarterzip_knit_LOWRES,48,"clean",SCALE,CROP2,SCALE,896x1120,896x1120,same,same
upscale,p029+dualuse_man_black_suit_studio_nonceleb,48,"clean",SCALE,SCALE,NOSCALE,1248x832,1024x672,same,same
crop2,p015+p020,48,"clean",SCALE,CROP2,SCALE,832x1248,832x1248,same,same
upscale,p022+dualuse_queen_latifah_gown_stage,47,"fail",SCALE,SCALE,NOSCALE,832x1248,672x1024,B,arm_better
crop2,g030+p013,47,"fail",SCALE,CROP2,SCALE,1024x1024,1024x1024,same,same
upscale,g014+p007,46,"clean",SCALE,NOSCALE,SCALE,832x1024,896x1120,same,same
upscale,g005+g009,47,"fail",SCALE,SCALE,NOSCALE,896x1120,800x1024,A,baseline_better
crop2,p012+dualuse_queen_latifah_gown_stage,47,"fail",SCALE,CROP2,SCALE,832x1248,832x1248,A,arm_better
crop2,p016+p021,46,"fail",SCALE,SCALE,CROP2,832x1248,832x1248,same,same
crop2,g015+g018,48,"fail",SCALE,CROP2,SCALE,896x1120,896x1120,B,baseline_better
crop2,g015+g018,47,"clean",SCALE,CROP2,SCALE,896x1120,896x1120,same,same
crop2,g005+p002,47,"fail",SCALE,SCALE,CROP2,896x1120,896x1120,same,same
upscale,g005+g009,46,"fail",SCALE,SCALE,NOSCALE,896x1120,800x1024,same,same
upscale,p012+dualuse_queen_latifah_gown_stage,47,"fail",SCALE,SCALE,NOSCALE,832x1248,672x1024,B,arm_better
crop2,g014+p007,47,"clean",SCALE,SCALE,CROP2,896x1120,896x1120,same,same
upscale,p026+dualuse_lp_beige_long_coat_menswear,46,"clean",SCALE,SCALE,NOSCALE,832x1248,672x1024,same,same
upscale,p013+dualuse_scarlett_johansson_black_dress_backview_night,46,"fail",SCALE,SCALE,NOSCALE,1248x832,1024x672,A,baseline_better
crop2,p024+p025,47,"clean",SCALE,SCALE,CROP2,832x1248,832x1248,same,same
upscale,p012+p017,48,"clean",SCALE,SCALE,NOSCALE,832x1248,672x1024,same,same
crop2,g029+p012,48,"fail",SCALE,CROP2,SCALE,864x1184,864x1184,same,same
upscale,p013+p018,47,"clean",SCALE,SCALE,NOSCALE,1248x832,1024x672,same,same
upscale,p019+dualuse_gal_gadot_blue_dress_redcarpet,48,"fail",SCALE,SCALE,NOSCALE,1248x832,1024x672,same,same
crop2,dualuse_lp_plaid_overcoat_brown_suit+dualuse_navy_peacoat_onmodel,48,"clean",SCALE,SCALE,CROP2,896x1120,896x1120,same,same
upscale,p022+dualuse_queen_latifah_gown_stage,46,"fail",SCALE,SCALE,NOSCALE,832x1248,672x1024,B,arm_better
crop2,p019+dualuse_gal_gadot_blue_dress_redcarpet,46,"fail",SCALE,SCALE,CROP2,1248x832,1248x832,same,same
upscale,g004+g005,47,"fail",SCALE,NOSCALE,SCALE,768x1024,896x1152,same,same
crop2,p013+dualuse_scarlett_johansson_black_dress_backview_night,47,"fail",SCALE,SCALE,CROP2,1248x832,1248x832,same,same
crop2,g027+p011,47,"clean",SCALE,CROP2,SCALE,768x1344,768x1344,same,same
upscale,p015+p020,48,"clean",SCALE,NOSCALE,SCALE,672x1024,832x1248,same,same
upscale,g004+g013,47,"clean",SCALE,NOSCALE,SCALE,768x1024,896x1152,same,same
crop2,g014+g029,48,"fail",SCALE,SCALE,CROP2,896x1120,896x1120,same,same
upscale,p003+p004,48,"clean",SCALE,NOSCALE,SCALE,704x1024,832x1216,same,same
upscale,p019+dualuse_lp_plaid_overcoat_brown_suit,47,"clean",SCALE,NOSCALE,SCALE,1024x672,1248x832,same,same
crop2,p022+g005,47,"clean",SCALE,SCALE,CROP2,832x1248,832x1248,same,same
crop2,g005+g009,47,"fail",SCALE,CROP2,SCALE,896x1120,896x1120,same,same
upscale,g027+p011,47,"clean",SCALE,SCALE,NOSCALE,768x1344,576x1024,A,baseline_better
crop2,g027+p003,48,"fail",SCALE,SCALE,CROP2,768x1344,768x1344,same,same
upscale,p025+p026,47,"clean",SCALE,SCALE,NOSCALE,864x1184,704x1024,same,same
upscale,p016+p021,46,"fail",SCALE,NOSCALE,SCALE,672x1024,832x1248,same,same
crop2,p025+dualuse_zendaya_white_blazer_skirt,47,"clean",SCALE,CROP2,SCALE,864x1184,864x1184,same,same
crop2,g014+g029,47,"fail",SCALE,CROP2,SCALE,896x1120,896x1120,same,same
upscale,g014+g029,48,"fail",SCALE,SCALE,NOSCALE,896x1120,832x1024,B,arm_better
crop2,g005+g009,46,"fail",SCALE,SCALE,CROP2,896x1120,896x1120,B,arm_better
crop2,dualuse_man_black_suit_studio_nonceleb+g011,47,"fail",SCALE,CROP2,SCALE,832x1248,832x1248,same,same
crop2,p026+dualuse_lp_beige_long_coat_menswear,46,"clean",SCALE,CROP2,SCALE,832x1248,832x1248,same,same
crop2,p012+p017,48,"clean",SCALE,SCALE,CROP2,832x1248,832x1248,same,same
upscale,p011+p016,47,"clean",SCALE,NOSCALE,SCALE,672x1024,832x1248,same,same
upscale,g012+g024,46,"clean",SCALE,SCALE,NOSCALE,896x1120,832x1024,A,baseline_better
upscale,p030+dualuse_navy_peacoat_onmodel,48,"clean",SCALE,SCALE,NOSCALE,832x1248,672x1024,same,same
upscale,g015+g018,48,"fail",SCALE,SCALE,NOSCALE,896x1120,832x1024,same,same
upscale,g004+g005,48,"fail",SCALE,NOSCALE,SCALE,768x1024,896x1152,A,arm_better
crop2,p023+g009,46,"clean",SCALE,SCALE,CROP2,832x1248,832x1248,same,same
crop2,dualuse_woman_top_denim_skirt_nonceleb+dualuse_zendaya_white_blazer_skirt,46,"fail",SCALE,SCALE,CROP2,832x1248,832x1248,same,same
crop2,dualuse_lp_floral_kimono_set+g005,46,"fail",SCALE,SCALE,CROP2,896x1120,896x1120,same,same
upscale,g013+p006,46,"fail",SCALE,SCALE,NOSCALE,896x1120,832x1024,B,arm_better
crop2,g027+p011,48,"fail",SCALE,SCALE,CROP2,768x1344,768x1344,same,same
crop2,p007+p020,46,"clean",SCALE,SCALE,CROP2,832x1248,832x1248,same,same
upscale,p018+p023,48,"clean",SCALE,NOSCALE,SCALE,672x1024,832x1248,same,same
upscale,p023+g009,46,"clean",SCALE,NOSCALE,SCALE,672x1024,832x1248,same,same
upscale,p013+dualuse_scarlett_johansson_black_dress_backview_night,47,"fail",SCALE,SCALE,NOSCALE,1248x832,1024x672,same,same
