block,set_id,seed,group,baseline,shown_A,shown_B,wh_A,wh_B,answer,verdict
garment_only,dualuse_emma_watson_black_blazer_armscrossed+g023,46,"product shot · parser found a head: True · bald pass changed 5.7% of pixels",PROD,NOBALD,PROD,1216x832,1216x832,same,same
garment_only,dualuse_emma_watson_black_blazer_armscrossed+g010,46,"product shot · parser found a head: True · bald pass changed 2.7% of pixels",PROD,PROD,NOBALD,1216x832,1216x832,same,same
garment_only,dualuse_woman_top_denim_skirt_nonceleb+g008,47,"product shot · parser found a head: True · bald pass changed 3.9% of pixels",PROD,NOBALD,PROD,832x1248,832x1248,same,same
garment_only,dualuse_hugh_jackman_grey_suit_outdoor+g001,46,"product shot · parser found a head: True · bald pass changed 3.3% of pixels",PROD,PROD,NOBALD,832x1248,832x1248,same,same
garment_only,dualuse_hugh_jackman_grey_suit_outdoor+g001,47,"product shot · parser found a head: True · bald pass changed 3.3% of pixels",PROD,PROD,NOBALD,832x1248,832x1248,same,same
garment_only,dualuse_woman_top_denim_skirt_nonceleb+g002,46,"product shot · parser found a head: True · bald pass changed 7.7% of pixels",PROD,NOBALD,PROD,832x1248,832x1248,same,same
garment_only,dualuse_woman_top_denim_skirt_nonceleb+g008,46,"product shot · parser found a head: True · bald pass changed 3.9% of pixels",PROD,NOBALD,PROD,832x1248,832x1248,same,same
garment_only,dualuse_emma_watson_black_blazer_armscrossed+g021,46,"product shot · parser found a head: True · bald pass changed 7.4% of pixels",PROD,NOBALD,PROD,1216x832,1216x832,same,same
garment_only,dualuse_emma_watson_black_blazer_armscrossed+g026,47,"product shot · parser found a head: True · bald pass changed 6.7% of pixels",PROD,NOBALD,PROD,1216x832,1216x832,same,same
garment_only,dualuse_hugh_jackman_grey_suit_outdoor+g010,47,"product shot · parser found a head: True · bald pass changed 2.7% of pixels",PROD,PROD,NOBALD,832x1248,832x1248,same,same
garment_only,dualuse_hugh_jackman_grey_suit_outdoor+g026,46,"product shot · parser found a head: True · bald pass changed 6.7% of pixels",PROD,PROD,NOBALD,832x1248,832x1248,same,same
garment_only,dualuse_emma_watson_black_blazer_armscrossed+g017,47,"product shot · parser found a head: True · bald pass changed 6.2% of pixels",PROD,PROD,NOBALD,1216x832,1216x832,same,same
garment_only,dualuse_woman_top_denim_skirt_nonceleb+g010,46,"product shot · parser found a head: True · bald pass changed 2.7% of pixels",PROD,PROD,NOBALD,832x1248,832x1248,same,same
garment_only,dualuse_hugh_jackman_grey_suit_outdoor+g008,47,"product shot · parser found a head: True · bald pass changed 3.9% of pixels",PROD,NOBALD,PROD,832x1248,832x1248,same,same
