stage,arm,pair_idx,pair,garment_sim,identity_cos,pose_err,bg_psnr
triage,fashn_v16,0,p001xg015,0.0750182853623744,0.9471336603164673,0.026105029441493646,21.384043711940343
triage,fashn_v16,1,p005xg023,0.4321436712509785,0.9777197241783142,0.026453225298249696,30.808122354777513
triage,fashn_v16,2,p006xg006,0.1647988547014443,0.9656710624694824,0.02198079120646317,33.95062217055536
triage,fashn_v16,3,p003xg011,0.05368510954359759,0.995092511177063,0.022815584580171525,29.439106275415373
triage,flux_vto_v1,0,p001xg015,0.0654464920412728,0.6269353628158569,0.0381923561979791,23.299298866511194
triage,flux_vto_v1,1,p005xg023,0.16509857647769755,0.8698612451553345,0.02781292095255164,29.703166001458253
triage,flux_vto_v1,2,p006xg006,0.09527856396806694,0.7859290838241577,0.024714563807411504,29.239585337238267
triage,flux_vto_v1,3,p003xg011,0.04341968911179678,0.9051398038864136,0.025541163556755325,30.161684980713336
triage,klein_4b_edit,0,p001xg015,0.012779272401680334,0.7252166271209717,0.029776309911387088,22.624374436924917
triage,klein_4b_edit,1,p005xg023,-0.0035737286748193024,,,1.7757312739177928
triage,klein_4b_edit,2,p006xg006,0.12634866166085879,0.8174154162406921,0.02070844403362332,25.958912263942505
triage,klein_4b_edit,3,p003xg011,0.1253569143098067,0.9458292722702026,0.026582993623122133,28.56629803011307
triage,klein_tryon_lora,0,p001xg015,0.01711800316963632,0.5662906169891357,0.04535662152308235,22.900681549944473
triage,klein_tryon_lora,1,p005xg023,0.11610040647396322,0.8479417562484741,0.0753966954124831,17.881474369843097
triage,klein_tryon_lora,2,p006xg006,0.09648951094884683,0.8743945360183716,0.07036453325528785,16.369399456434756
triage,klein_tryon_lora,3,p003xg011,0.40689692913860176,-0.05466505512595177,0.4630544742040402,11.860578203598083
triage,qwen_2511,0,p001xg015,0.06888556634924685,0.8154104948043823,0.11398162874880742,18.467973411990076
triage,qwen_2511,1,p005xg023,0.17829651006018415,0.9361663460731506,0.18362422160699476,12.395961033109025
triage,qwen_2511,2,p006xg006,0.12859971497823855,0.8071225881576538,0.12531837343452962,15.456694100779153
triage,qwen_2511,3,p003xg011,0.21877324384067404,0.8437261581420898,0.08813439967604418,17.942422582415713
triage,qwen_image3_edit,0,p001xg015,0.060319739586619465,0.6688024401664734,0.6711791415138868,14.620697554865231
triage,qwen_image3_edit,1,p005xg023,0.3292059399282721,0.9070542454719543,0.10958642295191053,17.298685450799574
triage,qwen_image3_edit,2,p006xg006,0.11571324536346506,0.7114174365997314,0.05344606041583637,18.24637547488004
triage,qwen_image3_edit,3,p003xg011,0.08439811453652268,0.9041918516159058,0.10699137673626964,17.93528470875567
triage,seedream5_lite,0,p001xg015,0.08120771242163281,0.2873884439468384,0.07456907399697657,18.793229447225656
triage,seedream5_lite,1,p005xg023,0.6054236736149837,0.5999637842178345,0.029188175063659047,25.012849621882257
triage,seedream5_lite,2,p006xg006,0.21468333860893926,0.17677617073059082,0.07847846611542285,19.07462432733665
triage,seedream5_lite,3,p003xg011,0.08801905614539342,0.5741506814956665,0.025683743009156927,25.846879622026215
grid,fashn_v16,0,p001xg015,0.07620962249918993,0.947796642780304,0.03185423912190441,24.465375694748545
grid,fashn_v16,0,p001xg015,0.07636595104406672,0.9465030431747437,0.03165971515985795,23.30240358303994
grid,fashn_v16,1,p002xg022,-0.0047726098882099445,0.9797838926315308,0.012759310175006085,30.472521671164053
grid,fashn_v16,1,p002xg022,-0.005744614751440834,0.9786285758018494,0.009372111559924578,30.637726646665197
