set_id,seed,vei_verdict,best_arm,report_example
dualuse_lp_navy_quarterzip_knit_LOWRES+dualuse_lp_plaid_overcoat_brown_suit,47,clean,VEi,
dualuse_lp_navy_quarterzip_knit_LOWRES+dualuse_lp_plaid_overcoat_brown_suit,48,clean,VEi,
dualuse_lp_plaid_overcoat_brown_suit+dualuse_navy_peacoat_onmodel,46,clean,VEi,
dualuse_lp_plaid_overcoat_brown_suit+dualuse_navy_peacoat_onmodel,47,clean,VEi,
dualuse_lp_plaid_overcoat_brown_suit+dualuse_navy_peacoat_onmodel,48,clean,VEi,
dualuse_navy_peacoat_onmodel+g004,46,clean,VEi,
dualuse_navy_peacoat_onmodel+g004,47,clean,VEi,
dualuse_navy_peacoat_onmodel+g004,48,clean,VEi,
g004+g005,46,fail,VEi,
g004+g005,47,fail,VEi,
g004+g005,48,fail,VEi,
g005+g009,46,fail,VEi,
g005+g009,47,fail,VEi,
g005+g009,48,fail,VEi,
g009+g011,46,fail,VEi,
g009+g011,47,fail,VEi,
g009+g011,48,clean,VEi,
g011+g012,46,clean,VEi,
g011+g012,47,clean,VEi,
g011+g012,48,clean,VEi,
g012+g013,46,clean,VEi,
g012+g013,47,clean,VEi,
g012+g013,48,clean,VEi,
g013+g014,46,mid,VEi,
g013+g014,47,mid,VEi,
g013+g014,48,clean,VEi,
g014+g015,46,clean,VEi,
g014+g015,47,clean,VEi,
g014+g015,48,clean,VEi,
g015+g018,46,fail,VEi,
g015+g018,47,mid,VEi,
g015+g018,48,mid,VEi,yes
g018+g024,46,clean,VEi,
g018+g024,47,clean,VEi,
g018+g024,48,clean,VEi,
g024+g027,46,clean,VEi,
g024+g027,47,clean,VEi,
g024+g027,48,clean,VEi,
g027+g029,46,fail,VEi,
g027+g029,47,fail,VEi,
g027+g029,48,fail,VEi,
g029+g030,46,clean,VEi,
g029+g030,47,clean,VEi,
g029+g030,48,fail,VEi,
g030+p001,46,clean,VEi,
g030+p001,47,clean,VEi,
g030+p001,48,clean,VEi,
p001+p006,46,clean,VEi,
p001+p006,47,clean,VEi,
p001+p006,48,clean,VEi,
p002+p007,46,clean,VEi,
p002+p007,47,clean,VEi,
p002+p007,48,clean,VEi,
p003+p008,46,clean,VEi,
p003+p008,47,clean,VEi,
p003+p008,48,clean,VEi,
p004+p009,46,clean,VEi,
p004+p009,47,clean,VEi,
p004+p009,48,clean,VEi,
p005+p010,46,mid,VEi,
p005+p010,47,clean,VEi,
p005+p010,48,clean,VEi,
p006+p011,46,clean,VEi,
p006+p011,47,clean,VEi,
p006+p011,48,clean,VEi,
p007+p012,46,clean,VEi,
p007+p012,47,clean,VEi,
p007+p012,48,clean,VEi,
p008+p013,46,clean,VEi,
p008+p013,47,clean,VEi,yes
p008+p013,48,clean,VEi,yes
p009+p014,46,clean,VEi,
p009+p014,47,clean,VEi,
p009+p014,48,clean,VEi,
p010+p015,46,clean,VEi,
p010+p015,47,clean,VEi,
p010+p015,48,mid,VEi,
p011+p016,46,clean,VEi,
p011+p016,47,clean,VEi,
p011+p016,48,clean,VEi,
p012+p017,46,clean,VEi,
p012+p017,47,fail,VEi,
p012+p017,48,clean,VEi,
p013+p018,46,clean,VEi,
p013+p018,47,clean,VEi,
p013+p018,48,clean,VEi,
p014+p019,46,clean,VEi,
p014+p019,47,clean,VEi,
p014+p019,48,clean,VEi,
p015+p020,46,clean,VEi,
p015+p020,47,clean,VEi,
p015+p020,48,clean,VEi,
p016+p021,46,clean,VEi,
p016+p021,47,clean,VEi,
p016+p021,48,clean,VEi,
p017+p022,46,clean,VEi,
p017+p022,47,clean,VEi,
p017+p022,48,clean,VEi,
p018+p023,46,clean,VEi,
p018+p023,47,clean,VEi,
p018+p023,48,clean,VEi,
p019+p024,46,clean,VEi,
p019+p024,47,clean,VEi,
p019+p024,48,clean,VEi,
p020+p025,46,clean,VEi,
p020+p025,47,clean,VEi,
p020+p025,48,clean,VEi,
p021+p026,46,clean,VEi,
p021+p026,47,clean,VEi,
p021+p026,48,clean,VEi,
p022+p027,46,clean,VEi,
p022+p027,47,clean,VEi,
p022+p027,48,clean,VEi,
p023+p028,46,clean,VEi,
p023+p028,47,clean,VEi,
p023+p028,48,clean,VEi,
