set_id,person,garment_source,arm,rank,tier,counted
"p011+p003","p011","p003","D2O","8","mid","yes"
"p011+p003","p011","p003","D3O","9","mid","yes"
"p011+p003","p011","p003","BALD_raw","10","out","no"
"p015+p002","p015","p002","control","1","top","yes"
"p015+p002","p015","p002","QX_qwen_p1","2","top","yes"
"p015+p002","p015","p002","BC_klein","3","top","yes"
"p015+p002","p015","p002","D3B","4","top","yes"
"p015+p002","p015","p002","D3O","5","mid","yes"
"p015+p002","p015","p002","D1hO","6","mid","yes"
"p015+p002","p015","p002","D1hB","7","mid","yes"
"p015+p002","p015","p002","D2B","8","mid","yes"
"p015+p002","p015","p002","D2O","9","mid","yes"
"p015+p002","p015","p002","BALD_raw","10","out","no"
"dualuse_lp_beige_long_coat_menswear+dualuse_scarlett_johansson_black_dress_backview_night","dualuse_lp_beige_long_coat_menswear","dualuse_scarlett_johansson_black_dress_backview_night","QX_qwen_p1","1","top","yes"
"dualuse_lp_beige_long_coat_menswear+dualuse_scarlett_johansson_black_dress_backview_night","dualuse_lp_beige_long_coat_menswear","dualuse_scarlett_johansson_black_dress_backview_night","control","2","top","yes"
"dualuse_lp_beige_long_coat_menswear+dualuse_scarlett_johansson_black_dress_backview_night","dualuse_lp_beige_long_coat_menswear","dualuse_scarlett_johansson_black_dress_backview_night","BC_klein","3","mid","yes"
"dualuse_lp_beige_long_coat_menswear+dualuse_scarlett_johansson_black_dress_backview_night","dualuse_lp_beige_long_coat_menswear","dualuse_scarlett_johansson_black_dress_backview_night","D3B","4","mid","yes"
"dualuse_lp_beige_long_coat_menswear+dualuse_scarlett_johansson_black_dress_backview_night","dualuse_lp_beige_long_coat_menswear","dualuse_scarlett_johansson_black_dress_backview_night","D1hB","5","mid","yes"
"dualuse_lp_beige_long_coat_menswear+dualuse_scarlett_johansson_black_dress_backview_night","dualuse_lp_beige_long_coat_menswear","dualuse_scarlett_johansson_black_dress_backview_night","D2B","6","mid","yes"
"dualuse_lp_beige_long_coat_menswear+dualuse_scarlett_johansson_black_dress_backview_night","dualuse_lp_beige_long_coat_menswear","dualuse_scarlett_johansson_black_dress_backview_night","D3O","7","out","no"
"dualuse_lp_beige_long_coat_menswear+dualuse_scarlett_johansson_black_dress_backview_night","dualuse_lp_beige_long_coat_menswear","dualuse_scarlett_johansson_black_dress_backview_night","D1hO","8","out","no"
"dualuse_lp_beige_long_coat_menswear+dualuse_scarlett_johansson_black_dress_backview_night","dualuse_lp_beige_long_coat_menswear","dualuse_scarlett_johansson_black_dress_backview_night","BALD_raw","9","out","no"
"dualuse_lp_beige_long_coat_menswear+dualuse_scarlett_johansson_black_dress_backview_night","dualuse_lp_beige_long_coat_menswear","dualuse_scarlett_johansson_black_dress_backview_night","D2O","10","out","no"
"dualuse_lp_floral_kimono_set+p008","dualuse_lp_floral_kimono_set","p008","QX_qwen_p1","1","top","yes"
"dualuse_lp_floral_kimono_set+p008","dualuse_lp_floral_kimono_set","p008","control","2","top","yes"
"dualuse_lp_floral_kimono_set+p008","dualuse_lp_floral_kimono_set","p008","BC_klein","3","top","yes"
"dualuse_lp_floral_kimono_set+p008","dualuse_lp_floral_kimono_set","p008","D1hO","4","mid","yes"
"dualuse_lp_floral_kimono_set+p008","dualuse_lp_floral_kimono_set","p008","D2O","5","mid","yes"
"dualuse_lp_floral_kimono_set+p008","dualuse_lp_floral_kimono_set","p008","D3O","6","mid","yes"
"dualuse_lp_floral_kimono_set+p008","dualuse_lp_floral_kimono_set","p008","D1hB","7","mid","yes"
"dualuse_lp_floral_kimono_set+p008","dualuse_lp_floral_kimono_set","p008","D2B","8","mid","yes"
"dualuse_lp_floral_kimono_set+p008","dualuse_lp_floral_kimono_set","p008","D3B","9","mid","yes"
"dualuse_lp_floral_kimono_set+p008","dualuse_lp_floral_kimono_set","p008","BALD_raw","10","out","no"
"dualuse_man_black_suit_studio_nonceleb+dualuse_scarlett_johansson_black_dress_backview_night","dualuse_man_black_suit_studio_nonceleb","dualuse_scarlett_johansson_black_dress_backview_night","control","1","top","yes"
"dualuse_man_black_suit_studio_nonceleb+dualuse_scarlett_johansson_black_dress_backview_night","dualuse_man_black_suit_studio_nonceleb","dualuse_scarlett_johansson_black_dress_backview_night","BC_klein","2","top","yes"
"dualuse_man_black_suit_studio_nonceleb+dualuse_scarlett_johansson_black_dress_backview_night","dualuse_man_black_suit_studio_nonceleb","dualuse_scarlett_johansson_black_dress_backview_night","D2O","3","top","yes"
"dualuse_man_black_suit_studio_nonceleb+dualuse_scarlett_johansson_black_dress_backview_night","dualuse_man_black_suit_studio_nonceleb","dualuse_scarlett_johansson_black_dress_backview_night","D3O","4","top","yes"
"dualuse_man_black_suit_studio_nonceleb+dualuse_scarlett_johansson_black_dress_backview_night","dualuse_man_black_suit_studio_nonceleb","dualuse_scarlett_johansson_black_dress_backview_night","D1hB","5","top","yes"
"dualuse_man_black_suit_studio_nonceleb+dualuse_scarlett_johansson_black_dress_backview_night","dualuse_man_black_suit_studio_nonceleb","dualuse_scarlett_johansson_black_dress_backview_night","D2B","6","top","yes"
"dualuse_man_black_suit_studio_nonceleb+dualuse_scarlett_johansson_black_dress_backview_night","dualuse_man_black_suit_studio_nonceleb","dualuse_scarlett_johansson_black_dress_backview_night","D3B","7","top","yes"
"dualuse_man_black_suit_studio_nonceleb+dualuse_scarlett_johansson_black_dress_backview_night","dualuse_man_black_suit_studio_nonceleb","dualuse_scarlett_johansson_black_dress_backview_night","D1hO","8","mid","yes"
"dualuse_man_black_suit_studio_nonceleb+dualuse_scarlett_johansson_black_dress_backview_night","dualuse_man_black_suit_studio_nonceleb","dualuse_scarlett_johansson_black_dress_backview_night","QX_qwen_p1","9","mid","yes"
"dualuse_man_black_suit_studio_nonceleb+dualuse_scarlett_johansson_black_dress_backview_night","dualuse_man_black_suit_studio_nonceleb","dualuse_scarlett_johansson_black_dress_backview_night","BALD_raw","10","out","no"
"dualuse_hugh_jackman_grey_suit_outdoor+p007","dualuse_hugh_jackman_grey_suit_outdoor","p007","control","1","top","yes"
"dualuse_hugh_jackman_grey_suit_outdoor+p007","dualuse_hugh_jackman_grey_suit_outdoor","p007","BC_klein","2","top","yes"
"dualuse_hugh_jackman_grey_suit_outdoor+p007","dualuse_hugh_jackman_grey_suit_outdoor","p007","BALD_raw","3","top","yes"
"dualuse_hugh_jackman_grey_suit_outdoor+p007","dualuse_hugh_jackman_grey_suit_outdoor","p007","D1hO","4","top","yes"
"dualuse_hugh_jackman_grey_suit_outdoor+p007","dualuse_hugh_jackman_grey_suit_outdoor","p007","D3O","5","top","yes"
"dualuse_hugh_jackman_grey_suit_outdoor+p007","dualuse_hugh_jackman_grey_suit_outdoor","p007","D1hB","6","top","yes"
"dualuse_hugh_jackman_grey_suit_outdoor+p007","dualuse_hugh_jackman_grey_suit_outdoor","p007","D2B","7","top","yes"
"dualuse_hugh_jackman_grey_suit_outdoor+p007","dualuse_hugh_jackman_grey_suit_outdoor","p007","D3B","8","top","yes"
"dualuse_hugh_jackman_grey_suit_outdoor+p007","dualuse_hugh_jackman_grey_suit_outdoor","p007","QX_qwen_p1","9","mid","yes"
"dualuse_hugh_jackman_grey_suit_outdoor+p007","dualuse_hugh_jackman_grey_suit_outdoor","p007","D2O","10","out","no"
"dualuse_navy_peacoat_onmodel+p012","dualuse_navy_peacoat_onmodel","p012","QX_qwen_p1","1","top","yes"
"dualuse_navy_peacoat_onmodel+p012","dualuse_navy_peacoat_onmodel","p012","control","2","mid","yes"
"dualuse_navy_peacoat_onmodel+p012","dualuse_navy_peacoat_onmodel","p012","BC_klein","3","mid","yes"
"dualuse_navy_peacoat_onmodel+p012","dualuse_navy_peacoat_onmodel","p012","D3B","4","mid","yes"
"dualuse_navy_peacoat_onmodel+p012","dualuse_navy_peacoat_onmodel","p012","BALD_raw","5","out","no"
"dualuse_navy_peacoat_onmodel+p012","dualuse_navy_peacoat_onmodel","p012","D1hO","6","out","no"
"dualuse_navy_peacoat_onmodel+p012","dualuse_navy_peacoat_onmodel","p012","D2O","7","out","no"
"dualuse_navy_peacoat_onmodel+p012","dualuse_navy_peacoat_onmodel","p012","D3O","8","out","no"
"dualuse_navy_peacoat_onmodel+p012","dualuse_navy_peacoat_onmodel","p012","D1hB","9","out","no"
"dualuse_navy_peacoat_onmodel+p012","dualuse_navy_peacoat_onmodel","p012","D2B","10","out","no"
"p018+p016","p018","p016","QX_qwen_p1","1","top","yes"
"p018+p016","p018","p016","D3B","2","mid","yes"
"p018+p016","p018","p016","BC_klein","3","mid","yes"
"p018+p016","p018","p016","D1hB","4","mid","yes"
"p018+p016","p018","p016","D2B","5","mid","yes"
"p018+p016","p018","p016","D1hO","6","out","no"
"p018+p016","p018","p016","control","7","out","no"
"p018+p016","p018","p016","D2O","8","out","no"
"p018+p016","p018","p016","D3O","9","out","no"
"p018+p016","p018","p016","BALD_raw","10","out","no"
"p020+dualuse_hugh_jackman_grey_suit_outdoor","p020","dualuse_hugh_jackman_grey_suit_outdoor","control","1","top","yes"
"p020+dualuse_hugh_jackman_grey_suit_outdoor","p020","dualuse_hugh_jackman_grey_suit_outdoor","QX_qwen_p1","2","top","yes"
"p020+dualuse_hugh_jackman_grey_suit_outdoor","p020","dualuse_hugh_jackman_grey_suit_outdoor","BC_klein","3","top","yes"
"p020+dualuse_hugh_jackman_grey_suit_outdoor","p020","dualuse_hugh_jackman_grey_suit_outdoor","D1hO","4","top","yes"
"p020+dualuse_hugh_jackman_grey_suit_outdoor","p020","dualuse_hugh_jackman_grey_suit_outdoor","D2O","5","top","yes"
"p020+dualuse_hugh_jackman_grey_suit_outdoor","p020","dualuse_hugh_jackman_grey_suit_outdoor","D3O","6","top","yes"
"p020+dualuse_hugh_jackman_grey_suit_outdoor","p020","dualuse_hugh_jackman_grey_suit_outdoor","D1hB","7","top","yes"
"p020+dualuse_hugh_jackman_grey_suit_outdoor","p020","dualuse_hugh_jackman_grey_suit_outdoor","D2B","8","top","yes"
"p020+dualuse_hugh_jackman_grey_suit_outdoor","p020","dualuse_hugh_jackman_grey_suit_outdoor","D3B","9","top","yes"
"p020+dualuse_hugh_jackman_grey_suit_outdoor","p020","dualuse_hugh_jackman_grey_suit_outdoor","BALD_raw","10","out","no"
"p017+p002","p017","p002","control","1","top","yes"
"p017+p002","p017","p002","BC_klein","2","top","yes"
"p017+p002","p017","p002","D1hO","3","top","yes"
"p017+p002","p017","p002","D2O","4","top","yes"
"p017+p002","p017","p002","D3O","5","top","yes"
"p017+p002","p017","p002","D1hB","6","top","yes"
"p017+p002","p017","p002","D2B","7","top","yes"
"p017+p002","p017","p002","D3B","8","top","yes"
"p017+p002","p017","p002","QX_qwen_p1","9","out","no"
"p017+p002","p017","p002","BALD_raw","10","out","no"
"p019+p010","p019","p010","control","1","top","yes"
"p019+p010","p019","p010","BC_klein","2","top","yes"
"p019+p010","p019","p010","D1hB","3","top","yes"
"p019+p010","p019","p010","D2B","4","top","yes"
"p019+p010","p019","p010","D3B","5","top","yes"
"p019+p010","p019","p010","QX_qwen_p1","6","mid","yes"
"p019+p010","p019","p010","D2O","7","out","no"
"p019+p010","p019","p010","D3O","8","out","no"
"p019+p010","p019","p010","D1hO","9","out","no"
"p019+p010","p019","p010","BALD_raw","10","out","no"
"dualuse_queen_latifah_gown_stage+p006","dualuse_queen_latifah_gown_stage","p006","BC_klein","1","top","yes"
"dualuse_queen_latifah_gown_stage+p006","dualuse_queen_latifah_gown_stage","p006","QX_qwen_p1","2","top","yes"
"dualuse_queen_latifah_gown_stage+p006","dualuse_queen_latifah_gown_stage","p006","D1hO","3","mid","yes"
"dualuse_queen_latifah_gown_stage+p006","dualuse_queen_latifah_gown_stage","p006","control","4","mid","yes"
"dualuse_queen_latifah_gown_stage+p006","dualuse_queen_latifah_gown_stage","p006","D3O","5","mid","yes"
"dualuse_queen_latifah_gown_stage+p006","dualuse_queen_latifah_gown_stage","p006","D3B","6","mid","yes"
"dualuse_queen_latifah_gown_stage+p006","dualuse_queen_latifah_gown_stage","p006","D2O","7","out","no"
"dualuse_queen_latifah_gown_stage+p006","dualuse_queen_latifah_gown_stage","p006","D1hB","8","out","no"
"dualuse_queen_latifah_gown_stage+p006","dualuse_queen_latifah_gown_stage","p006","D2B","9","out","no"
"dualuse_queen_latifah_gown_stage+p006","dualuse_queen_latifah_gown_stage","p006","BALD_raw","10","out","no"
"p009+p018","p009","p018","control","1","top","yes"
"p009+p018","p009","p018","BC_klein","2","top","yes"
"p009+p018","p009","p018","D1hO","3","top","yes"
"p009+p018","p009","p018","D2O","4","top","yes"
"p009+p018","p009","p018","D3O","5","top","yes"
"p009+p018","p009","p018","D1hB","6","top","yes"
"p009+p018","p009","p018","D2B","7","top","yes"
"p009+p018","p009","p018","D3B","8","top","yes"
"p009+p018","p009","p018","QX_qwen_p1","9","mid","yes"
"p009+p018","p009","p018","BALD_raw","10","out","no"
"p007+p030","p007","p030","control","1","top","yes"
"p007+p030","p007","p030","QX_qwen_p1","2","top","yes"
"p007+p030","p007","p030","BC_klein","3","top","yes"
"p007+p030","p007","p030","D1hO","4","top","yes"
